Name,Launch Site,State,Latitude,Longitude,Day,Year
AMC-16 (Americom-16),Cape Canaveral,Florida,28.45077,-80.52662,20041217,2004
AMC-18 (Americom 18),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20061208,2006
"AMC-2 (Americom 2, GE-2)",Guiana Space Center,French Guiana,5.21237515,-52.77388327,19970130,1997
AMC-21 (Americom 21),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20080814,2008
"AMC-3 (Americom 3, GE-3)",Cape Canaveral,Florida,28.45077,-80.52662,19970904,1997
"AMC-4 (Americom-4, GE-4)",Guiana Space Center,French Guiana,5.21237515,-52.77388327,19991113,1999
"AMC-7 (Americom-7, GE-7)",Guiana Space Center,French Guiana,5.21237515,-52.77388327,20000914,2000
"AMC-8 (Americom-8, GE-8, Aurora 3)",Guiana Space Center,French Guiana,5.21237515,-52.77388327,20001219,2000
Amsat-Oscar 7 (AO-7),Vandenberg AFB,California,34.7425933,-120.5155986,19741115,1974
Anik F1 ,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20001121,2000
Anik F2 ,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20040718,2004
AOBA-Velox 3 ,International Space Center,Texas,29.5517223,-95.0985272,20161209,2016
Arabsat 5C,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20110921,2011
ARC-1 (Alaska Research Satellite-1),Cape Canaveral,Florida,28.45077,-80.52662,20151008,2015
ArSat 1,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20141016,2014
ArSat 2,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20150930,2015
Artemis (Advanced Data Relay and Technology Mission Satellite) ,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20010712,2001
AsiaSat-4 ,Cape Canaveral,Florida,28.45077,-80.52662,20030412,2003
AsiaSat-6 (Thaicom-7),Cape Canaveral,Florida,28.45077,-80.52662,20140907,2014
AsiaSat-8,Cape Canaveral,Florida,28.45077,-80.52662,20140805,2014
AsiaStar ,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20000321,2000
Astra 1D ,Guiana Space Center,French Guiana,5.21237515,-52.77388327,19941101,1994
Astra 1KR,Cape Canaveral,Florida,28.45077,-80.52662,20060420,2006
Astra 1L,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20070504,2007
Astra 1N,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20110806,2011
Astra 2B ,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20000914,2000
Astra 2D,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20001219,2000
Astra 2F,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20120928,2012
Astra 3A ,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20020329,2002
Astra 3B,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20100521,2010
Astra 5B,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20140322,2014
Athena-Fidus__(Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20140206,2014
Atlantis (QB50 - US02),International Space Center,Texas,29.5517223,-95.0985272,20170526,2017
Azerspace/Africasat-1a (Azersat-1),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20130207,2013
Badr 5A (Arabsat 5A),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20100626,2010
Badr 6 (Arabsat 4AR),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20080707,2008
Badr 7 (Arabsat 6B),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20151110,2015
BeEagleSat (QB 50 - TR01),International Space Center,Texas,29.5517223,-95.0985272,20170526,2017
BermudaSat-1 (Echostar 6) ,Cape Canaveral,Florida,28.45077,-80.52662,20000714,2000
BisonSat (Nwist Qwiqway),Cape Canaveral,Florida,28.45077,-80.52662,20151008,2015
BRAC ONNESHA (Bird BB),International Space Center,Texas,29.5517223,-95.0985272,20170707,2017
Brazilsat B-2 (Brasilsat B-2),Guiana Space Center,French Guiana,5.21237515,-52.77388327,19950328,1995
Brazilsat B-3 (Brasilsat B-3),Guiana Space Center,French Guiana,5.21237515,-52.77388327,19980204,1998
Brazilsat B-4 (Brasilsat B-4),Guiana Space Center,French Guiana,5.21237515,-52.77388327,20000817,2000
BRISat,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20160619,2016
BSAT-3A,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20070814,2007
BSAT-3B,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20101028,2010
BSAT-3C/JCSat 110-R,Guiana Space Center,French Guiana,5.21237515,-52.77388327,20110806,2011
BulgariaSat-1,Cape Canaveral,Florida,28.45077,-80.52662,20170623,2017
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),Vandenberg AFB,California,34.7425933,-120.5155986,20060428,2006
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),Vandenberg AFB,California,34.7425933,-120.5155986,20130929,2013
CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1),Vandenberg AFB,California,34.7425933,-120.5155986,20161111,2016
CFESat (Cibola Flight Experiment Satellite),Cape Canaveral,Florida,28.45077,-80.52662,20070309,2007
Challenger (QB50-US01/QBUS-1),International Space Center,Texas,29.5517223,-95.0985272,20170526,2017
Chandra X-Ray Observatory (CXO),Cape Canaveral,Florida,28.45077,-80.52662,19990723,1999
