,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation,state
603,Falsey Draw,10072,Valid,L6,4180.0,Found,1995.0,33.84333,-103.93667,"(33.843330, -103.936670)",US-NM
604,Farley,10073,Valid,H5,19400.0,Found,1936.0,36.33333,-104.05,"(36.333330, -104.050000)",US-NM
605,Farnum,10076,Valid,L5,4200.0,Found,1937.0,40.25,-100.23333,"(40.250000, -100.233330)",US-NE
606,Faucett,10077,Valid,H5,100000.0,Found,1966.0,39.61667,-94.86667,"(39.616670, -94.866670)",US-KS
607,Felt,10083,Valid,H6,5400.0,Found,1970.0,36.55,-102.78333,"(36.550000, -102.783330)",US-OK
608,Felt (b),10084,Valid,L3.5-5,5590.0,Found,1990.0,36.58333,-102.7,"(36.583330, -102.700000)",US-OK
609,Ferguson Switch,10089,Valid,H5,1700.0,Found,1937.0,34.0,-101.5,"(34.000000, -101.500000)",US-TX
610,Fife,30563,Valid,H5,8600.0,Found,2003.0,31.38972,-99.40583,"(31.389720, -99.405830)",US-TX
611,Finney,10104,Valid,L5,10700.0,Found,1962.0,34.26667,-101.56667,"(34.266670, -101.566670)",US-TX
612,Finney (c),10105,Valid,OC,492.0,Found,1978.0,34.29833,-101.68333,"(34.298330, -101.683330)",US-TX
613,Fish Canyon,10106,Valid,"Iron, IAB complex",27.3,Found,1992.0,31.735,-110.75333,"(31.735000, -110.753330)",US-AZ
614,Fitzwater Pass,51738,Valid,"Iron, IIIF",65.4,Found,1974.0,42.03839,-120.58942,"(42.038390, -120.589420)",US-OR
615,Flagg,10108,Valid,L5,7000.0,Found,1954.0,34.43333,-102.51667,"(34.433330, -102.516670)",US-TX
616,Flagler,30564,Valid,H3.8,4100.0,Found,1972.0,39.23,-102.99,"(39.230000, -102.990000)",US-CO
617,Flandreau,10109,Valid,H5,21360.0,Found,1983.0,44.04833,-96.59167,"(44.048330, -96.591670)",US-SD
618,Fleming,10110,Valid,H3.7,1750.0,Found,1940.0,40.68333,-102.81667,"(40.683330, -102.816670)",US-NE
619,Florey,10112,Valid,H6,110800.0,Found,1978.0,32.5225,-102.705,"(32.522500, -102.705000)",US-TX
620,Floyd,10113,Valid,L4,13000.0,Found,1966.0,34.19333,-103.575,"(34.193330, -103.575000)",US-NM
621,Floydada,10114,Valid,"Iron, IIIAB",12500.0,Found,1912.0,33.98333,-101.28333,"(33.983330, -101.283330)",US-TX
622,Floydada (b),10115,Valid,H5,6266.0,Found,1999.0,33.98333,-101.33333,"(33.983330, -101.333330)",US-TX
623,Fluvanna (a),10116,Valid,L5,9500.0,Found,1967.0,32.8,-101.11667,"(32.800000, -101.116670)",US-TX
624,Fluvanna (b),10117,Valid,H6,4110.0,Found,1976.0,32.90333,-101.16278,"(32.903330, -101.162780)",US-TX
625,Forestburg (a),10121,Valid,L4,26100.0,Found,1957.0,33.50667,-97.65139,"(33.506670, -97.651390)",US-TX
626,Forestburg (b),10122,Valid,L5,26600.0,Found,1957.0,33.49556,-97.58861,"(33.495560, -97.588610)",US-TX
627,Forsyth County,10165,Valid,"Iron, IIAB",22700.0,Found,1891.0,36.1,-80.2,"(36.100000, -80.200000)",US-NC
628,Fort Pierre,10167,Valid,"Iron, IIIAB",15900.0,Found,1856.0,44.35,-100.38333,"(44.350000, -100.383330)",US-SD
629,Fort Stockton,10168,Valid,Iron,4762.8,Found,1952.0,30.91667,-103.06667,"(30.916670, -103.066670)",US-TX
630,Foster,10170,Valid,H4,1992.0,Found,1975.0,33.1,-102.26667,"(33.100000, -102.266670)",US-TX
631,Fountain Hills,30565,Valid,CBa,60.0,Found,2002.0,33.61,-111.72,"(33.610000, -111.720000)",US-AZ
632,Four Corners,10172,Valid,"Iron, IAB-ung",25000.0,Found,1924.0,37.0,-109.05,"(37.000000, -109.050000)",US-NM
633,Franceville,10173,Valid,"Iron, IIIAB",18800.0,Found,1890.0,38.81667,-104.61667,"(38.816670, -104.616670)",US-CO
634,Franconia,10174,Valid,H5,100000.0,Found,2002.0,34.71637,-114.22197,"(34.716370, -114.221970)",US-CA
635,Frankel City,10175,Valid,L6,4700.0,Found,1977.0,32.33333,-102.745,"(32.333330, -102.745000)",US-TX
636,Frankfort (iron),10176,Valid,"Iron, IIIAB",10900.0,Found,1866.0,38.2,-84.83333,"(38.200000, -84.833330)",US-KY
637,Franklin,10178,Valid,H5,9062.0,Found,1921.0,36.71667,-86.56667,"(36.716670, -86.566670)",US-KY
638,Franklinville,10179,Valid,L6,108.0,Found,1888.0,38.5,-100.0,"(38.500000, -100.000000)",US-KS
639,Freda,10180,Valid,"Iron, IAB-sLH",268.0,Found,1919.0,46.38333,-101.23333,"(46.383330, -101.233330)",US-ND
640,Fremont Butte,10181,Valid,L4,6647.0,Found,1963.0,38.5,-105.5,"(38.500000, -105.500000)",US-CO
641,Friona,10184,Valid,L5,21900.0,Found,1981.0,34.54,-102.56833,"(34.540000, -102.568330)",US-TX
642,Fuzzy Creek,10841,Valid,"Iron, IVA",2700.0,Found,,31.61111,-99.90417,"(31.611110, -99.904170)",US-TX
643,Gahanna,10842,Valid,"Iron, IAB-MG",1201.0,Found,1950.0,40.01667,-82.86667,"(40.016670, -82.866670)",US-OH
644,Gail,10843,Valid,H4,4650.0,Found,1948.0,32.7,-101.6,"(32.700000, -101.600000)",US-TX
645,Gaines County Park,10844,Valid,H5,13700.0,Found,1977.0,32.83333,-102.73333,"(32.833330, -102.733330)",US-TX
646,Galatia,10847,Valid,L6,23900.0,Found,1971.0,38.64167,-98.88333,"(38.641670, -98.883330)",US-KS
647,Galleta Flat,52414,Valid,H4,392.0,Found,2009.0,32.00415,-110.37503,"(32.004150, -110.375030)",US-AZ
